
 1700610188.7991858; Info ; Camera started recording
 1700610189.0459561; Error ; Radar not initialized
 1700610189.0503054; Info ; Camera stopped recording
 1700610190.990232; Info ; Camera started recording
 1700610508.8181984; Info ; Camera started recording
 1700610509.0762763; Error ; Radar not initialized
 1700610509.079085; Info ; Camera stopped recording
 1700610512.9420457; Info ; Camera started recording
 1700601728.3308895; Info ; Camera started recording
 1700601738.565223; Info ; Camera stopped recording
 1700601816.8834596; Info ; Camera started recording
 1700601817.1337972; Error ; Radar not initialized
 1700601817.1745706; Info ; Camera stopped recording
 1700601823.6454415; Info ; Camera started recording
 1700601854.5527506; Info ; Camera started recording
 1700601854.7978444; Info ; Camera stopped recording
 1700601854.7978642; Error ; Radar not initialized
 1700601856.8970437; Info ; Camera started recording
 1700601937.107697; Info ; Camera started recording
 1700601937.332739; Info ; Camera stopped recording
 1700601937.332762; Error ; Radar not initialized
 1700601939.689799; Info ; Camera started recording
 1700601944.434917; Info ; Camera stopped recording
 1700603421.8274477; Info ; Camera started recording
 1700603422.0891407; Error ; Radar not initialized
 1700603422.0957394; Info ; Camera stopped recording
 1700603427.504926; Info ; Camera started recording
 1700604202.864628; Info ; Camera started recording
 1700604203.0765355; Error ; Radar not initialized
 1700604203.0845284; Info ; Camera stopped recording
 1700604206.2607572; Info ; Camera started recording
 1700604227.3258991; Info ; Camera stopped recording
 1700604229.0514777; Info ; Camera started recording
 1700604229.287861; Error ; Radar not initialized
 1700604229.2977457; Info ; Camera stopped recording
 1700604491.8182404; Info ; Camera started recording
 1700604492.0149717; Info ; Camera stopped recording
 1700604534.6789184; Info ; Camera started recording
 1700604534.9412386; Error ; Radar not initialized
 1700604534.9582205; Info ; Camera stopped recording
 1700604814.8236089; Info ; Camera started recording
 1700604829.7008984; Info ; Camera stopped recording
 1700604893.5213842; Info ; Camera started recording
 1700604893.7560673; Error ; Radar not initialized
 1700604893.7774596; Info ; Camera stopped recording
 1700604900.9369195; Info ; Camera started recording
 1700604901.5082026; Info ; Camera stopped recording
 1700607483.95121; Info ; Camera started recording
 1700607484.213826; Error ; Radar not initialized
 1700607484.2265656; Info ; Camera stopped recording
 1700607489.0895262; Info ; Camera started recording
 1700607493.5335777; Info ; Camera stopped recording
 1700607495.0102057; Info ; Camera started recording
 1700607495.2667632; Error ; Radar not initialized
 1700607495.2853358; Info ; Camera stopped recording
 1700607497.988581; Info ; Camera started recording
 1700607498.840692; Info ; Camera stopped recording
 1700607646.8975368; Info ; Camera started recording
 1700607647.161729; Error ; Radar not initialized
 1700607647.1776996; Info ; Camera stopped recording
 1700607684.9634619; Info ; Camera started recording
 1700607687.4514818; Info ; Camera stopped recording
 1700607693.5716383; Info ; Radar stopped
 1700607694.3122933; Info ; Camera started recording
 1700607694.7759545; Info ; Camera stopped recording
 1700607946.630459; Info ; Radar stopped
 1700607947.3572044; Info ; Camera started recording
 1700607947.6172514; Info ; Camera stopped recording
 1700608041.4365194; Info ; Radar stopped
 1700608042.1534832; Info ; Camera started recording
 1700608042.1880565; Info ; Camera stopped recording
 1700608054.750037; Info ; Radar stopped
 1700608055.4756088; Info ; Camera started recording
 1700608056.8647969; Info ; Camera stopped recording
 1700608167.8910143; Info ; Radar stopped
 1700608167.8946135; Info ; Radar stopped
 1700608168.6250396; Info ; Camera started recording
 1700608168.8343084; Info ; Camera stopped recording
 1700608207.6736085; Info ; Radar stopped
 1700608208.3970902; Info ; Camera started recording
 1700608208.442425; Info ; Camera stopped recording
 1700608456.034077; Info ; Camera started recording
 1700608456.0798414; Info ; Camera stopped recording
 1700608476.6348162; Info ; Radar stopped
 1700608477.3718123; Info ; Camera started recording
 1700608477.4079936; Info ; Camera stopped recording
 1700611320.547612; Info ; Radar stopped
 1700611320.5519102; Info ; Radar stopped
 1700611321.280359; Info ; Camera started recording
 1700611323.2042844; Info ; Camera stopped recording
 1700611367.6764078; Info ; Camera started recording
 1700611367.7238533; Info ; Camera stopped recording
 1700611377.3757381; Info ; Radar stopped
 1700611377.585148; Info ; Radar stopped
 1700611377.9100678; Info ; Camera started recording
 1700611377.9697454; Info ; Camera stopped recording
 1700611382.8603904; Info ; Radar stopped
 1700611383.06956; Info ; Radar stopped
 1700611383.278914; Info ; Radar stopped
 1700611383.4064941; Info ; Camera started recording
 1700611383.4881172; Info ; Radar stopped
 1700611383.697118; Info ; Radar stopped
 1700611383.9057183; Info ; Radar stopped
 1700611384.1141691; Info ; Radar stopped
