
 2024-08-30 12:03:27; Info ; main process Process-1 started
 2024-08-30 12:03:27; Info ; cam process Process-2 started
 2024-08-30 12:03:27; Error ; No camera present.
 2024-08-30 12:03:37; Info ; Radar stopped
 2024-08-30 12:03:37; Info ; Execution Finished, radar put to sleep ETH mode
 2024-08-30 14:06:19; Info ; main process Process-1 started
 2024-08-30 14:06:19; Info ; cam process Process-2 started
 2024-08-30 14:06:19; Error ; No camera present.
 2024-08-30 14:06:20; Info ; Execution Finished, radar put to sleep ETH mode
 2024-08-30 14:09:37; Info ; main process Process-1 started
 2024-08-30 14:09:37; Info ; cam process Process-2 started
 2024-08-30 14:09:37; Error ; No camera present.
 2024-08-30 14:09:40; Info ; Execution Finished, radar put to sleep ETH mode
 2024-08-30 14:48:46; Info ; main process Process-1 started
 2024-08-30 14:48:46; Info ; cam process Process-2 started
 2024-08-30 14:48:46; Error ; No camera present.
 2024-08-30 14:49:14; Info ; main process Process-1 started
 2024-08-30 14:49:14; Info ; cam process Process-2 started
 2024-08-30 14:49:14; Error ; No camera present.
 2024-08-30 14:49:24; Info ; Radar stopped
 2024-08-30 14:49:24; Info ; Execution Finished, radar put to sleep ETH mode
 2023-11-21 22:19:44; Info ; main process Process-1 started
 2023-11-21 22:19:44; Info ; cam process Process-2 started
 2023-11-21 22:19:44; Info ; Camera started recording
 2023-11-21 22:19:48; Info ; Execution Finished, radar put to sleep ETH mode
 2023-11-21 22:22:23; Info ; main process Process-1 started
 2023-11-21 22:22:23; Info ; cam process Process-2 started
 2023-11-21 22:22:24; Info ; Camera started recording
 2023-11-21 22:22:32; Info ; Execution Finished, radar put to sleep ETH mode
 2023-11-21 22:35:19; Info ; main process Process-1 started
 2023-11-21 22:35:19; Info ; cam process Process-2 started
 2023-11-21 22:35:20; Info ; Camera started recording
